Device Name,LPR Status
"CO-DENAIR-84,85,151",LPR is running fine
TX-KemahBoardwalk-FVNew,LPR is running fine
NC-1BACParking-FV2SpareWarr(LAZ-Bofa-Gateway-Village),LPR is running fine
FL-FastparkMCO-FV2,LPR is running fine
WY-TetonVillage-Ranch2-Village,LPR is running fine
WI-GrandAve-615-FV2Warr-Interpark-The-Avenue,LPR is running fine
IL-TheaterDistrict-FV1,LPR is running fine
"CO-DENAIR-93,94,96",LPR is running fine
NC-1BAC-FV3-Spare,LPR is running fine
OH-TowerCity-FV3-Canal-2,LPR is running fine
AR-LRCVBConventionDistrict-FV2,LPR is restarting.....check!!!!
WA-OnniSouthLakeUnion,LPR is running fine
PA-MansionAtBala-FV2,LPR is running fine
TX-707Redemption-FV4-Lv5Nest,LPR is running fine
UT-LAHotel-FV4,LPR is running fine
NJ-RutgersUniversity-FV8,LPR is running fine
IL-CH614-FV2WellsParkWarr,LPR is running fine
CA-PetersonAutomotive-Count-FV2-warranty,LPR is running fine
WI-IsaacsGarage-FV2-BairdCenter,LPR is running fine
NJ-RutgersUniversity-FV5,LPR is running fine
DC-55511th-FV2,LPR is running fine
VA-CoVB-FV3,LPR is running fine
FL-BlvdLenox-FV-2Warranty,LPR is running fine
MT-Bozeman-FV7-War,LPR is running fine
CA-CBXOTN-FV4-NW-LOTE3,LPR is running fine
CA-888Olive-FV2Warr,LPR is running fine
GA-TPBRedDeck-FV1-Heritage/Legends,LPR is running fine
TX-ShopsAtRivercenter-FVC-Crockett-L-Entry-(7),LPR is running fine
NY-QueensCenter-FV9(Macys)-2,LPR is running fine
PA-UPHS3600Garage-FV4,LPR is running fine
AZ-CityscapeWest-FV1,LPR is running fine
CA-ColoradoCenter-SpareWarr,LPR is running fine
MA-ViridianBoston-FV1,LPR is running fine
MA-UNUM-FosterEntry1CONT,LPR is running fine
CO-SheratonDen-FV1,LPR is running fine
CO-1800Larimer-FVWAR2,LPR is running fine
CO-DENVERHEALTH-FV2-Warr-BannockREV,LPR is running fine
MD-UMBPLAZA-FV1,LPR is running fine
